"RK010"	"RK020"	"RK020_F"	"RK030"	"RK030_F"	"RK040"	"RK040_F"	"RK050"	"RK050_F"	"RK060"	"RK060_F"	"RK070"	"RK070_F"	"RK080"	"RK080_F"
253370201	10	" 1"	120	" 1"	"3"	" 1"	"1"	" 1"	"4"	" 1"	4	" 1"	"3"	" 1"
253370202	8	" 1"	120	" 1"	"3"	" 1"	" "	"-1"	"4"	" 1"	2	" 1"	"3"	" 1"
254320101	4	" 1"	210	" 1"	"1"	" 1"	"1"	" 1"	"3"	" 1"	4	" 1"	"3"	" 1"
255030101	10	" 1"	NA	"-1"	"2"	" 1"	"3"	" 1"	"7"	" 1"	0	" 1"	"3"	" 1"
257960301	16	" 1"	15	" 1"	"1"	" 1"	"1"	" 1"	"1"	" 1"	4	" 1"	"1"	" 1"
259500201	15	" 1"	NA	"-1"	"2"	" 1"	"1"	" 1"	"6"	" 1"	0	" 1"	"4"	" 1"
260520101	17	" 1"	250	" 1"	"2"	" 1"	"1"	" 1"	"7"	" 1"	7	" 1"	"1"	" 1"
261050301	16	" 1"	30	" 1"	"2"	" 1"	"1"	" 1"	"5"	" 1"	0	" 1"	"1"	" 1"
261780101	8	" 1"	240	" 1"	"2"	" 1"	"1"	" 1"	"4"	" 1"	6	" 1"	"1"	" 1"
261780102	4	" 1"	NA	"-1"	"1"	" 1"	"1"	" 1"	"1"	" 1"	30	" 1"	"3"	" 1"
262070101	4	" 1"	20	" 1"	"2"	" 1"	"1"	" 1"	"3"	" 1"	2	" 1"	"1"	" 1"
262070102	16	" 1"	20	" 1"	"1"	" 1"	"1"	" 1"	"3"	" 1"	2	" 1"	"1"	" 1"
262350201	11	" 1"	360	" 1"	"1"	" 1"	"1"	" 1"	"1"	" 1"	0	" 1"	"1"	" 1"
262740101	13	" 1"	30	" 1"	"3"	" 1"	"1"	" 1"	"4"	" 1"	0	" 1"	"4"	" 1"
262740102	10	" 1"	30	" 1"	"3"	" 1"	"1"	" 1"	"4"	" 1"	0	" 1"	"4"	" 1"
263070101	6	" 1"	NA	"-1"	"3"	" 1"	" "	"-1"	"2"	" 1"	0	" 1"	"1"	" 1"
263490101	8	" 1"	60	" 1"	"2"	" 1"	"1"	" 1"	"3"	" 1"	0	" 1"	"1"	" 1"
263710101	9	" 1"	NA	"-1"	"2"	" 1"	"1"	" 1"	"4"	" 1"	NA	"-1"	"3"	" 1"
264000101	8	" 1"	10	" 1"	"2"	" 1"	"1"	" 1"	"1"	" 1"	15	" 1"	"3"	" 1"
264000102	5	" 1"	10	" 1"	"2"	" 1"	"1"	" 1"	"1"	" 1"	15	" 1"	"3"	" 1"
264270301	10	" 1"	780	" 1"	"2"	" 1"	"2"	" 1"	"7"	" 1"	0	" 1"	"1"	" 1"
264270302	6	" 1"	780	" 1"	"2"	" 1"	"2"	" 1"	"7"	" 1"	0	" 1"	"1"	" 1"
264270303	3	" 1"	780	" 1"	"2"	" 1"	"2"	" 1"	"7"	" 1"	0	" 1"	"1"	" 1"
264740101	17	" 1"	30	" 1"	"1"	" 1"	"1"	" 1"	"3"	" 1"	8	" 1"	"3"	" 1"
264820101	15	" 1"	10	" 1"	"2"	" 1"	"1"	" 1"	"3"	" 1"	15	" 1"	"3"	" 1"
264820102	8	" 1"	10	" 1"	"2"	" 1"	"1"	" 1"	"3"	" 1"	15	" 1"	"3"	" 1"
265160201	NA	"-1"	NA	"-1"	"2"	" 1"	"3"	" 1"	"3"	" 1"	NA	"-1"	"3"	" 1"
265160202	NA	"-1"	NA	"-1"	"2"	" 1"	"3"	" 1"	"3"	" 1"	NA	"-1"	"3"	" 1"
